"id","user","repo","url","stars","description","topics","repoLink","commits"
0,"OpenEMS","openems","https://github.com/OpenEMS/openems",524,"OpenEMS - Open Source Energy Management System","[""energy-storage"",""heatpump"",""energy-management"",""climatechange"",""photovoltaics"",""electric-vehicle-charging-station""]","/OpenEMS/openems",5625
1,"climate-strike","license","https://github.com/climate-strike/license",475,"Prevent oil and gas companies from co-opting your work and extracting more fossil fuels with this software license.","[""climate-change"",""licenses"",""climatechange"",""climate-crisis"",""climatestrike""]","/climate-strike/license",61
2,"pogopaule","awesome-sustainability-jobs","https://github.com/pogopaule/awesome-sustainability-jobs",423,"Dev jobs in the sustainability sector - be part of the solution, not the problem","[""sustainability"",""emobility"",""jobs"",""job-board"",""awesome-list"",""jobseeker"",""jobsearch"",""hacktoberfest"",""climate-change"",""circular-economy"",""job-portal"",""job-search"",""renewables"",""carbon-footprint"",""climatechange"",""climate-action"",""green-tech"",""renewable-energies""]","/pogopaule/awesome-sustainability-jobs",553
3,"Open-Earth-Foundation","OpenClimate","https://github.com/Open-Earth-Foundation/OpenClimate",24,"A data utility for tracking climate action","[""api"",""sustainability"",""climate"",""open-data"",""climate-data"",""climate-change"",""nodejs-api"",""climatechange"",""reactjs-app"",""climate-action"",""climate-change-api"",""climate-targets""]","/Open-Earth-Foundation/OpenClimate",1043
4,"ClimateMind","climatemind-backend","https://github.com/ClimateMind/climatemind-backend",13,"Your climate action is here 🌎 Our API is a source for learning how climate change personally affects you and the things you care about most. Additionally, it will teach a scientifically proven method for communicating to others that climate change is a personally relevant issue to inspire action.","[""python"",""flask"",""climate"",""global-warming"",""climate-science"",""climate-change"",""owl-ontology"",""climatechange"",""climate-action""]","/ClimateMind/climatemind-backend",1723
5,"philsturgeon","phil.tech","https://github.com/philsturgeon/phil.tech",11,"Computers, humans, the overlap, and remote work.","[""api"",""api-design"",""system-architecture"",""php8"",""climatechange""]","/philsturgeon/phil.tech",552
6,"Hydroenvironment","Statdownscaling","https://github.com/Hydroenvironment/Statdownscaling",10,"Statistical dowscaling of climate data at daily scale using quantile mapping (QPM) technique.","[""climate"",""meteorology"",""hydrology"",""downscaling"",""climatechange"",""hydrolohy"",""biascorrection""]","/Hydroenvironment/Statdownscaling",29
7,"Forest-Modelling-Lab","3D-CMCC-FEM","https://github.com/Forest-Modelling-Lab/3D-CMCC-FEM",8,"3D-CMCC-FEM code","[""forest"",""management"",""forestry"",""climatechange"",""3d-cmcc-fem"",""vegetationmodelling""]","/Forest-Modelling-Lab/3D-CMCC-FEM",3360
8,"vporton","courts","https://github.com/vporton/courts",7,"Crypto Reward Courts","[""open-source"",""money"",""community"",""crypto"",""climate"",""monetization"",""cryptocurrency"",""free-software"",""global-warming"",""carbon"",""carbon-emissions"",""climate-change"",""justice"",""open-source-community"",""aragon"",""carbon-footprint"",""climatechange"",""climate-crisis"",""justice-system"",""common-goods""]","/vporton/courts",425
9,"cpscesar","literaturereview","https://github.com/cpscesar/literaturereview",5,"From Data Chaos to Clarity: Creating Your Code for Efficient Literature Review (ChatGPT-based)","[""literature-review"",""climatechange"",""chatgpt""]","/cpscesar/literaturereview",6
